x,y,T (K),power
0.0,0.0,1923.0,101.2165398166878
1.0,0.0,1956.845872787563,77.5537000151669
0.0,1.0,1946.234433595284,89.02924779004701
0.0,2.0,1952.7705552919676,112.67983062537621
1.0,1.0,1954.1149963336277,100.09690627727095
2.0,0.0,1929.061990554078,106.84225175871747
3.0,0.0,1958.7270587189753,107.42391003971424
2.0,1.0,1961.3079207736291,97.86475153541119
1.0,2.0,1935.6987411689158,98.82355280769039
0.0,3.0,1925.662049314451,89.0095930641232
1.0,3.0,1975.4491021793071,109.40615669435049
2.0,2.0,1944.2563756454401,103.30515050923167
3.0,1.0,1929.771620620068,72.02664332293284
3.0,2.0,1970.798919776776,107.53730649753822
2.0,3.0,1945.7755705023785,101.81035521604082
3.0,3.0,1981.7298157860105,100.15737302572997
