x,y,T (K),power
0.0,0.0,1923.0,94.75205458603351
1.0,0.0,1954.684208842618,103.06895104780092
0.0,1.0,1944.7504997136145,67.33888716252808
0.0,2.0,1945.517499735584,115.94639408941386
1.0,1.0,1952.6490678819441,112.33982906013927
2.0,0.0,1931.0563919909468,93.13835962453052
3.0,0.0,1954.1446042040493,93.48541893164997
2.0,1.0,1959.8478661087934,105.84249529125297
1.0,2.0,1936.7970254093716,103.55310495895888
0.0,3.0,1925.73922153757,115.72835000938748
1.0,3.0,1985.469283819997,84.92431371969248
2.0,2.0,1945.5311568860418,97.54475728807816
3.0,1.0,1929.787451597614,87.38039673064398
3.0,2.0,1974.6107642793459,103.3524605898711
2.0,3.0,1943.0688112018279,112.08793609166275
3.0,3.0,1984.205904881586,94.31077492791098
