x,y,T (K),power
0.0,0.0,1923.0,95.55641754251207
1.0,0.0,1954.9531803600134,99.43442130128973
0.0,1.0,1944.935142635934,97.35699241418595
0.0,2.0,1955.5552759084437,102.82501814416092
1.0,1.0,1959.0393469992491,110.00718461913334
2.0,0.0,1930.7722987112252,111.07175443526131
3.0,0.0,1960.1413652127976,101.11582301965342
2.0,1.0,1963.6433321898778,104.6643669489483
1.0,2.0,1936.047048250177,107.17752609459346
0.0,3.0,1925.4292303914542,100.44789040525464
1.0,3.0,1981.1916319610825,123.15694621773889
2.0,2.0,1945.9381059707844,96.72120349635529
3.0,1.0,1929.9167519137704,106.31743277668843
3.0,2.0,1980.7540854028314,88.94281295823284
2.0,3.0,1945.9438745956465,98.63547496800845
3.0,3.0,1976.399766770853,117.58228738802174
