x,y,T (K),power
0.0,0.0,1923.0,103.90531648679367
1.0,0.0,1957.7449747850762,98.15654910648618
0.0,1.0,1946.8516469786625,112.29923126190332
0.0,2.0,1960.551822086738,97.03701807728908
1.0,1.0,1962.2934169806576,113.20997689926948
2.0,0.0,1930.672413738971,90.36307423781908
3.0,0.0,1953.2165744935105,104.70254629750264
2.0,1.0,1959.330602999698,111.42209555817578
1.0,2.0,1936.0469991894618,98.97204293900361
0.0,3.0,1925.2924894900475,89.26129161644988
1.0,3.0,1975.5673540114692,80.03271831469581
2.0,2.0,1945.3365316570962,108.35340906290848
3.0,1.0,1930.2938350033367,94.16616047466906
3.0,2.0,1979.3610056848943,93.11066979266906
2.0,3.0,1944.174675793352,99.04160612693912
3.0,3.0,1977.4923120860244,93.15066667289406
