x,y,T (K),power
0.0,0.0,1923.0,103.04293518229574
1.0,0.0,1957.4566024698472,91.9114101123919
0.0,1.0,1946.6536858431657,101.66564954931516
0.0,2.0,1956.9960509195726,97.54239133225526
1.0,1.0,1958.9925819916527,92.60742982206881
2.0,0.0,1930.184261999161,97.15099712526062
3.0,0.0,1955.4863929930978,92.74514706484538
2.0,1.0,1958.0520688685367,98.37867181898268
1.0,2.0,1934.4584626406868,99.28418745226783
0.0,3.0,1925.3044288807926,90.47871671725046
1.0,3.0,1976.0461029999587,91.23074278242898
2.0,2.0,1944.359969905078,109.38422223959478
3.0,1.0,1929.447069150333,77.8435868672771
3.0,2.0,1974.13951332272,112.83390339217492
2.0,3.0,1945.1919002972163,74.48733803356497
3.0,3.0,1973.8090951572178,94.0139460335813
