x,y,T (K),power
0.0,0.0,1923.0,108.4873387052172
1.0,0.0,1959.27716054637,106.95556136629392
0.0,1.0,1947.9034581861874,104.91847241341429
0.0,2.0,1958.083764736486,94.89566716122332
1.0,1.0,1961.8106650992092,94.43829837235519
2.0,0.0,1931.360189166755,80.69152569593682
3.0,0.0,1949.9824983020094,94.36265179525293
2.0,1.0,1954.525856195477,94.15216087339658
1.0,2.0,1934.4870722764724,101.37434935193312
0.0,3.0,1925.2419002966978,115.58782359508197
1.0,3.0,1984.9221559324603,101.02072341599045
2.0,2.0,1944.317393588664,112.1055180841769
3.0,1.0,1929.3024387997282,118.21904209629287
3.0,2.0,1988.2653695474507,100.55303772112526
2.0,3.0,1946.3318233259113,98.44066514872911
3.0,3.0,1978.9997715565853,109.30706821160017
