x,y,T (K),power
0.0,0.0,1923.0,109.38991274003466
1.0,0.0,1959.5789729380908,97.80648320237911
0.0,1.0,1948.1106456331677,117.90215185494732
0.0,2.0,1962.4253868022915,110.65162618701096
1.0,1.0,1963.531377486619,85.50862761918025
2.0,0.0,1930.6450508123332,100.43203250123966
3.0,0.0,1956.5835408124958,126.88589977854477
2.0,1.0,1957.8278197751938,113.80716670512187
1.0,2.0,1934.4707048552996,87.82435424073627
0.0,3.0,1925.6141331949045,95.74395294018998
1.0,3.0,1975.176124451712,117.32241650422266
2.0,2.0,1943.9880632617128,105.12338172368091
3.0,1.0,1930.9210953543193,94.78361051009385
3.0,2.0,1978.8260168335598,97.95399987447935
2.0,3.0,1946.6446932749716,97.70536464314596
3.0,3.0,1978.157280203032,102.0308632883091
