x,y,T (K),power
0.0,0.0,1923.0,101.7595666846675
1.0,0.0,1957.0274559391619,101.48281491202063
0.0,1.0,1946.3590863617922,98.58304702447816
0.0,2.0,1955.9652572064185,109.90940070455822
1.0,1.0,1959.6028282217683,113.87803714293139
2.0,0.0,1930.9324115455174,110.65965831708704
3.0,0.0,1960.0035640903998,111.5597494850536
2.0,1.0,1964.0817029050047,101.82187122461387
1.0,2.0,1936.6560922670797,84.22032063204203
0.0,3.0,1925.596598194845,103.1342528856457
1.0,3.0,1976.8200600432745,90.09050516538404
2.0,2.0,1942.5550013127483,100.78407559113903
3.0,1.0,1930.040518954175,99.74322208079789
3.0,2.0,1979.4883696687095,86.99434262999422
2.0,3.0,1943.9186406448412,88.94089412566917
3.0,3.0,1972.7107140226692,115.30671986350475
