x,y,T (K),power
0.0,0.0,1923.0,98.95892266880857
1.0,0.0,1956.090946538073,105.2111124321018
0.0,1.0,1945.716193633703,103.53383658566764
0.0,2.0,1957.620755349207,102.72923210449841
1.0,1.0,1961.2526306709974,92.56460334481353
2.0,0.0,1931.2238341900218,92.4812125434618
3.0,0.0,1953.9248603109183,94.37566754891984
2.0,1.0,1956.9742149855217,110.42600391196353
1.0,2.0,1934.679503812672,107.66741771097296
0.0,3.0,1925.4269674561995,97.5501141111453
1.0,3.0,1980.335097903066,112.94375480201072
2.0,2.0,1946.4559167030864,90.09572583613284
3.0,1.0,1930.0067714916834,107.1747209592935
3.0,2.0,1979.519864650087,107.87490813037027
2.0,3.0,1944.2333141387703,90.29430897548633
3.0,3.0,1977.9564537046203,86.67705448372294
