x,y,T (K),power
0.0,0.0,1923.0,96.64086302065854
1.0,0.0,1955.3158088767052,105.17409567299455
0.0,1.0,1945.1840789905586,121.07262437158369
0.0,2.0,1963.485563426279,102.90078250204817
1.0,1.0,1965.2735933111562,99.34989940544634
2.0,0.0,1931.220940772377,99.36202405633563
3.0,0.0,1956.2257399059104,102.9004406696723
2.0,1.0,1959.4879679060355,101.02087227862411
1.0,2.0,1935.2172984363503,115.43018128810148
0.0,3.0,1925.431020316553,119.0472735980929
1.0,3.0,1989.3055047336318,102.09574386925695
2.0,2.0,1946.7895996059704,95.86809455934335
3.0,1.0,1929.801291544223,102.89463513602726
3.0,2.0,1979.413700948713,101.06471807619968
2.0,3.0,1944.1801617382398,105.75254949952753
3.0,3.0,1981.562255032865,113.98911503825877
