x,y,T (K),power
0.0,0.0,1923.0,88.98214171825634
1.0,0.0,1952.7548034581641,102.9521666971665
0.0,1.0,1943.4260061316393,102.15855049384105
0.0,2.0,1957.1608724269618,101.16957724951932
1.0,1.0,1960.6259027004792,105.71161896662232
2.0,0.0,1931.0472635337583,105.50602719449876
3.0,0.0,1958.2802376095196,79.79522679154758
2.0,1.0,1961.774263977156,87.77861938852936
1.0,2.0,1935.6396687711467,110.16045182073225
0.0,3.0,1925.3901207719755,98.5365111988984
1.0,3.0,1981.2372202833553,104.99087698129142
2.0,2.0,1945.0289419521698,83.5729313100051
3.0,1.0,1928.6825581480623,108.51846987927763
3.0,2.0,1978.4718829520275,126.56801399332473
2.0,3.0,1942.7135694435142,106.4141749257445
3.0,3.0,1987.6378225890155,92.56750742133951
