x,y,T (K),power
0.0,0.0,1923.0,96.22678853162904
1.0,0.0,1955.1773462054298,100.18516795177553
0.0,1.0,1945.0890274679884,94.69491730133534
0.0,2.0,1954.6651026641928,96.15566330137507
1.0,1.0,1958.5316314523486,98.43460941992775
2.0,0.0,1930.8309808772965,99.62888058977943
3.0,0.0,1956.3149742573298,123.73002263767025
2.0,1.0,1959.4232012779157,89.0009815590332
1.0,2.0,1934.8539531021258,99.35040108720456
0.0,3.0,1925.2716675748566,103.52795083942257
1.0,3.0,1980.4248453989862,97.53907066123527
2.0,2.0,1943.6360788611244,104.6722714816749
3.0,1.0,1929.7733939397779,105.80831209761527
3.0,2.0,1982.4090217174144,93.27609725283577
2.0,3.0,1945.0362143683712,87.56136565828825
3.0,3.0,1973.6914002406752,80.4000864124259
