x,y,T (K),power
0.0,0.0,1923.0,110.28474587928856
1.0,1.0,1923.0,91.91001946942264
2.0,0.0,1923.0,106.10490355240519
3.0,1.0,1923.0,94.9908357541431
3.0,0.0,1979.1206210855357,94.35341461578267
2.0,1.0,1966.5987870865017,104.4435711433224
1.0,0.0,1937.8752964389316,99.93218023573941
0.0,1.0,1926.5831316151962,98.78433804502576
0.0,2.0,1956.0325670580205,105.87097908033213
1.0,3.0,1923.0,95.7888353428391
2.0,2.0,1927.51834919901,96.71444142724454
3.0,3.0,1923.0,115.2845815650292
3.0,2.0,1984.2581716633315,106.37397042076846
2.0,3.0,1970.267490346184,116.68132449422218
1.0,2.0,1937.2451607527248,92.68757657464496
0.0,3.0,1926.6182671328058,103.28617699828536
