x,y,T (K),power
0.0,0.0,1923.0,95.12487039570095
1.0,0.0,1954.8088749939216,88.35752861648925
2.0,0.0,1952.5459386261698,100.96584880832857
3.0,0.0,1956.7620440379012,93.68299313326165
3.0,1.0,1954.3267246014245,95.97054234444128
2.0,1.0,1974.0351865887553,90.57975056972592
1.0,1.0,1960.9176086340274,119.37762984933829
0.0,1.0,1966.4755510741636,92.99859721664708
0.0,2.0,1954.0978689502433,105.39801650958353
1.0,2.0,1980.6421222225467,90.67562779836844
2.0,2.0,1961.1415304666675,108.60664125892852
3.0,2.0,1962.9054525210888,95.36913444942756
3.0,3.0,1954.8905546295223,102.89728667853743
2.0,3.0,1977.7850149492074,102.87308841521764
1.0,3.0,1965.22852605724,99.47334028935771
0.0,3.0,1960.2038604553327,100.68620160804915
